Domain,manually identified level,automatically identified level,verbs identified,sentence
Cognitive,Understanding,,"['discern', 'propose']","Discern fundamental chemical, materials, mechanical and environmental engineering knowledge, principles and concepts to propose solutions to a humanitarian engineering problem."
Cognitive,Analysing,Applying,"['identify', 'provide', 'analyse', 'use']",Identify design requirements from a provided brief and analyse potential solutions using first principles of mathematics and natural and engineering sciences.
Cognitive,Remembering,Understanding,"['identify', 'include']","Identify societal, health, safety, legal and cultural issues relevant to your project including the Indigenous context, and your consequent responsibilities as an engineer."
Cognitive,Evaluating,Applying,"['determine', 'include', 'embody', 'propose', 'use']","Determine appropriate principles of sustainable design and development, including embodied energy, renewable materials, availability, costs, etc, of a proposed solution using a systems approach to design."
Cognitive,Remembering,Evaluating,"['identify', 'select', 'derive']","Identify, select and derive fundamental mathematical techniques from linear algebra, multi-variable calculus and ordinary differential equations that are essential to engineering applications."
SOLO,Unistructural,Multistructural,"['identify', 'select', 'derive']","Identify, select and derive fundamental mathematical techniques from linear algebra, multi-variable calculus and ordinary differential equations that are essential to engineering applications."
SOLO,Multistructural,Unistructural,"['discuss', 'write']",Discuss best practices in the presentation of written mathematical arguments.
Cognitive,Understanding,,['engage'],Engage in team discussion on the application of mathematics.
SOLO,Multistructural,Extended Abstract,['engage'],Engage in team discussion on the application of mathematics.
SOLO,Multistructural,Relational,"['discuss', 'integrate']",Discuss requirements of a smart system from component to integrated perspective.
Cognitive,Understanding,Applying,"['define', 'use', 'discern', 'solve', 'decompose', 'use', 'describe']","Define programs using Python, discern problem-solving strategies in decomposing problems using algorithms and describe software engineering processes."
Cognitive,Understanding,Applying,"['select', 'solve', 'contain']",Select fundamental circuit analysis techniques to solve problems in circuits that contain common electrical and electronic components.
Cognitive,Evaluating,Understanding,"['propose', 'give', 'evaluate']","Propose a design solution in response to a given scenario through requirements and functional analysis, evaluate that solution from an integrated system perspective."
SOLO,Relational,Multistructural,"['propose', 'give', 'evaluate']","Propose a design solution in response to a given scenario through requirements and functional analysis, evaluate that solution from an integrated system perspective."
Cognitive,Understanding,Creating,"['identify', 'develop', 'validate']",Identify appropriate engineering tools and techniques to develop and validate a solution.
Cognitive,Analysing,Understanding,"['identify', 'reflect', 'contribute']",Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.
SOLO,Relational,Extended Abstract,"['identify', 'reflect', 'contribute']",Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.
Cognitive,Evaluating,,"['determine', 'inform']","Determine the strength of structural materials to inform engineering designs with considerations to performance, cost, sustainability and societal impact."
Cognitive,Evaluating,Applying,"['determine', 'involve', 'use', 'solve']","Determine the steady-state performance of simple systems involving levers, gears, springs and pulleys using appropriate engineering problem-solving methodologies."
Cognitive,Creating,Applying,"['propose', 'solve', 'justify', 'finalise']","Propose concept designs that solve engineering problems and justify finalised design with considerations of key variables, assumptions and system boundaries."
SOLO,Extended Abstract,Multistructural,"['propose', 'solve', 'justify', 'finalise']","Propose concept designs that solve engineering problems and justify finalised design with considerations of key variables, assumptions and system boundaries."
SOLO,Extended Abstract,Unistructural,"['identify', 'develop', 'validate', 'convey']","Identify appropriate engineering tools and techniques to develop, validate and convey designs and solutions."
Cognitive,Evaluating,Understanding,"['identify', 'reflect', 'contribute']",Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.
Cognitive,Applying,Understanding,"['translate', 'implement']",Translate problem statements into algorithms and implement them in a high level programming language;
Cognitive,Evaluating,,"['determine', 'include']","Determine appropriate basic abstract data types, including; stacks, queues, lists, binary trees, priority queues, heaps and hash tables; for specific contexts;"
