0,1,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,acc,acc_improved,acc_improved_by
LO1-MA,Describe the underlying theoretical basis of the relational database model and motivations,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO2-MA,Design a relational database model based on the underlying theoretical basis with the capability of evaluating different options,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.08333333333333326
LO3-MA,Implement a database based on a sound database design with constructing queries that meet user requirements,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO4-MA,Contrast the differences between non-relational database models and the relational database model.,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO5-MA,Develop programming structures within a database backend.,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO1-MA,Discuss requirements of a smart system from component to integrated perspective.,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO2-MA,"Define programs using Python, discern problem-solving strategies in decomposing problems using algorithms and describe software engineering processes.",0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.25
LO3-MA,Select fundamental circuit analysis techniques to solve problems in circuits that contain common electrical and electronic components.,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.08333333333333326
LO4-MA,"Propose a design solution in response to a given scenario through requirements and functional analysis, evaluate that solution from an integrated system perspective.",1,1,0,1,1,1,0,1,1,1,1,1,0.8333333333333334,False,-0.08333333333333326
LO5-MA,Identify appropriate engineering tools and techniques to develop and validate a solution.,1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO6-MA,Identify the ethical considerations of data collection and analysis in engineering designs that may impact the suitability of solutions.,1,1,1,1,1,1,1,0,1,1,1,1,0.9166666666666666,True,0.08333333333333326
LO7-MA,"Describe project progress and outputs to stakeholders in review meetings, demonstrations and documentation.",1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666,True,0.0
LO8-MA,Identify roles and responsibilities within a team and reflect on self and team behaviours that contribute to the successful conduct of a project.,1,1,1,1,1,1,1,1,1,0,1,1,0.9166666666666666,True,0.0
LO1-MA,"Discern fundamental chemical, materials, mechanical and environmental engineering knowledge, principles and concepts to propose solutions to a humanitarian engineering problem.",1,1,1,1,1,1,1,1,1,1,1,1,1.0,True,0.5
LO2-MA,Identify design requirements from a provided brief and analyse potential solutions using first principles of mathematics and natural and engineering sciences.,1,0,0,1,1,1,1,1,1,1,1,1,0.8333333333333334,True,0.08333333333333337
LO3-MA,"Identify societal, health, safety, legal and cultural issues relevant to your project including the Indigenous context, and your consequent responsibilities as an engineer.",1,1,1,1,1,0,1,1,1,1,1,1,0.9166666666666666,False,-0.08333333333333337
LO4-MA,"Determine appropriate principles of sustainable design and development, including embodied energy, renewable materials, availability, costs, etc, of a proposed solution using a systems approach to design.",1,0,1,1,1,1,0,1,1,1,1,1,0.8333333333333334,True,0.08333333333333337
LO5-MA,"Discern the ethical considerations of working with diverse communities and stakeholders, and demonstrate your commitment to the Engineers Australia Code of Ethics and/or the Board of Engineers Malaysia Code of Professional Conduct, and established norms of professional conduct throughout your project.",1,1,1,1,1,1,1,0,1,1,1,1,0.9166666666666666,True,0.0
LO6-MA,"Describe project progress and outputs to stakeholders verbally through pitches, in writing through professional engineering documentation, and graphically through drawings and visualisations.",1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666,True,0.08333333333333326
LO7-MA,"Describe the principles of team norms, collaboration and dynamics, define your professional practice goals and discern the practices that lead to successful teamwork in a multicultural context.",1,1,1,1,1,1,1,1,1,0,1,1,0.9166666666666666,True,0.16666666666666663
LO1-MA,design and implement a software system of a quality acceptable to an external client,1,1,0,0,1,0,1,1,1,1,1,1,0.75,False,-0.16666666666666663
LO2-MA,"select and use appropriate tools, techniques and strategies to manage project resources, 
including time and personnel ",1,1,1,1,1,1,1,1,1,1,1,1,1.0,True,0.0
LO3-MA,"identify potential sources of risk, including ethical risk, and devise and adopt appropriate strategies to monitor and mitigate these risks",1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO4-MA,"choose and follow a software development methodology that is appropriate to the team, project and client, and justify this methodology",0,1,1,1,0,1,1,1,1,1,1,1,0.8333333333333334,False,-0.08333333333333326
LO5-MA,elicit requirements from client representatives and ensure that these are communicated to team members and other stakeholders in an appropriate form,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO6-MA,"produce internal documentation of a sufficient quality to support project development 
activities (including specification, analysis, design, testing); ",1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666,True,0.08333333333333326
LO7-MA,"communicate effectively with other project stakeholders, including clients, end users, and supervisors",1,1,1,0,1,1,1,1,0,1,1,1,0.8333333333333334,False,-0.08333333333333326
LO8-MA,"verify systematically that internal and external project deliverables meet agreed quality 
standards ",1,1,1,1,1,0,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO9-MA,"produce external documentation of a sufficient quality to meet the needs of clients, end users, and client-site technical staff.",1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666,True,0.0
LO1-MA,Analyse general problem solving strategies and algorithmic paradigms,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO2-MA,"Prove correctness of programs, analyse their space and time complexities.",0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO3-MA,Compare and contrast various abstract data types and use them appropriately.,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.0
LO4-MA,Develop and implement algorithms to solve computational problems.,1,1,0,0,1,0,1,1,1,1,1,1,0.75,False,-0.16666666666666663
LO1-MA,Determine reactions and internal member forces in simple truss and beam systems and carry out limit state design to select appropriately sized members.,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.08333333333333326
LO2-MA,"Determine the strength of structural materials to inform engineering designs with considerations to performance. cost, sustainability and societal impact.",0,0,1,1,1,1,0,1,1,1,1,1,0.75,False,-0.16666666666666663
LO3-MA,"Determine the steady-state performance of simple systems involving levers, gears, springs and pulleys using appropriate engineering problem-solving methodologies.",0,0,1,1,1,1,1,1,1,1,1,1,0.8333333333333334,True,0.0
LO4-MA,"Analyse concept designs that solve engineering problems and justify finalised design with considerations of key variables, assumptions, and system boundaries.",1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666,True,0.33333333333333326
LO5-MA,Propose concept designs and develop a final design which balances competing requirements.,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666,False,-0.08333333333333337
LO6-MA,"Identify appropriate engineering tools and techniques to develop, validate and convey designs and solutions.",1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666,False,-0.08333333333333337
